OMB13CBSA,metro_area,county_bridge,SMSA
36420,"Oklahoma City, OK","Canadian County, OK (40017); Cleveland County, OK (40027); Grady County, OK (40051); Lincoln County, OK (40081); Logan County, OK (40083); McClain County, OK (40087); Oklahoma County, OK (40109)",
13820,"Birmingham-Hoover, AL","Bibb County, AL (01007); Blount County, AL (01009); Chilton County, AL (01021); Jefferson County, AL (01073); St. Clair County, AL (01115); Shelby County, AL (01117); Walker County, AL (01127)",
40060,"Richmond, VA","Amelia County, VA (51007); Caroline County, VA (51033); Charles City County, VA (51036); Chesterfield County, VA (51041); Cumberland County, VA (51049); Dinwiddie County, VA (51053); Goochland County, VA (51075); Hanover County, VA (51085); Henrico County, VA (51087); King and Queen County, VA (51097); King William County, VA (51101); Louisa County, VA (51109); New Kent County, VA (51127); Powhatan County, VA (51145); Prince George County, VA (51149); Sussex County, VA (51183); Colonial Heights city, VA (51570); Hopewell city, VA (51670); Petersburg city, VA (51730); Richmond city, VA (51760)",
45300,"Tampa-St. Petersburg-Clearwater, FL","Hernando County, FL (12053); Hillsborough County, FL (12057); Pasco County, FL (12101); Pinellas County, FL (12103)",
29820,"Las Vegas-Paradise, NV","Clark County, NV (32003)",
12580,"Baltimore-Towson, MD","Anne Arundel County, MD (24003); Baltimore County, MD (24005); Carroll County, MD (24013); Harford County, MD (24025); Howard County, MD (24027); Queen Anne's County, MD (24035); Baltimore city, MD (24510)",
33460,"Minneapolis-St. Paul-Bloomington, MN-WI","Anoka County, MN (27003); Carver County, MN (27019); Chisago County, MN (27025); Dakota County, MN (27037); Hennepin County, MN (27053); Isanti County, MN (27059); Ramsey County, MN (27123); Scott County, MN (27139); Sherburne County, MN (27141); Washington County, MN (27163); Wright County, MN (27171); Pierce County, WI (55093); St. Croix County, WI (55109)",
40380,"Rochester, NY","Livingston County, NY (36051); Monroe County, NY (36055); Ontario County, NY (36069); Orleans County, NY (36073); Wayne County, NY (36117)",
41700,"San Antonio-New Braunfels, TX","Atascosa County, TX (48013); Bandera County, TX (48019); Bexar County, TX (48029); Comal County, TX (48091); Guadalupe County, TX (48187); Kendall County, TX (48259); Medina County, TX (48325); Wilson County, TX (48493)",
41940,"San Jose-Sunnyvale-Santa Clara, CA","San Benito County, CA (06069); Santa Clara County, CA (06085)",
