fips,cases,county,date,state,pop,omb13cbsa,metro_area,county_bridge,smsa
01001,74,Autauga,2020-05-10,Alabama,55869,33860,"Montgomery, AL",Autauga County ,5240
01007,46,Bibb,2020-05-10,Alabama,22394,13820,"Birmingham-Hoover, AL",Bibb County ,
01009,44,Blount,2020-05-10,Alabama,57826,13820,"Birmingham-Hoover, AL", Blount County ,
01021,65,Chilton,2020-05-10,Alabama,44428,13820,"Birmingham-Hoover, AL", Chilton County ,
01051,150,Elmore,2020-05-10,Alabama,81209,33860,"Montgomery, AL", Elmore County ,5240
01073,1121,Jefferson,2020-05-10,Alabama,658573,13820,"Birmingham-Hoover, AL", Jefferson County ,
01085,99,Lowndes,2020-05-10,Alabama,9726,33860,"Montgomery, AL", Lowndes County ,5240
01097,1461,Mobile,2020-05-10,Alabama,413210,33660,"Mobile, AL",Mobile County ,5160
01101,608,Montgomery,2020-05-10,Alabama,226486,33860,"Montgomery, AL", Montgomery County ,5240
01115,82,St. Clair,2020-05-10,Alabama,89512,13820,"Birmingham-Hoover, AL", St. Clair County ,
01117,367,Shelby,2020-05-10,Alabama,217702,13820,"Birmingham-Hoover, AL", Shelby County ,
01127,106,Walker,2020-05-10,Alabama,63521,13820,"Birmingham-Hoover, AL", Walker County ,
04013,5827,Maricopa,2020-05-10,Arizona,4485414,38060,"Phoenix-Mesa-Glendale, AZ",Maricopa County ,
04019,1585,Pima,2020-05-10,Arizona,1047279,46060,"Tucson, AZ",Pima County ,8520
04021,600,Pinal,2020-05-10,Arizona,462789,38060,"Phoenix-Mesa-Glendale, AZ", Pinal County ,
05035,210,Crittenden,2020-05-10,Arkansas,47955,32820,"Memphis, TN-MS-AR",Crittenden County ,
05045,82,Faulkner,2020-05-10,Arkansas,126007,30780,"Little Rock-North Little Rock-Conway, AR",Faulkner County ,4400
05053,15,Grant,2020-05-10,Arkansas,18265,30780,"Little Rock-North Little Rock-Conway, AR", Grant County ,4400
05085,45,Lonoke,2020-05-10,Arkansas,73309,30780,"Little Rock-North Little Rock-Conway, AR", Lonoke County ,4400
05105,8,Perry,2020-05-10,Arkansas,10455,30780,"Little Rock-North Little Rock-Conway, AR", Perry County ,4400
05119,627,Pulaski,2020-05-10,Arkansas,391911,30780,"Little Rock-North Little Rock-Conway, AR", Pulaski County ,4400
05125,73,Saline,2020-05-10,Arkansas,122437,30780,"Little Rock-North Little Rock-Conway, AR", Saline County ,4400
06001,2085,Alameda,2020-05-10,California,1671329,41860,"San Francisco-Oakland-Fremont, CA",Alameda County ,
06013,1048,Contra Costa,2020-05-10,California,1153526,41860,"San Francisco-Oakland-Fremont, CA", Contra Costa County ,
06017,54,El Dorado,2020-05-10,California,192843,40900,"Sacramento--Arden-Arcade--Roseville, CA",El Dorado County ,6920
06019,885,Fresno,2020-05-10,California,999101,23420,"Fresno, CA",Fresno County ,2840
06029,1264,Kern,2020-05-10,California,900202,12540,"Bakersfield-Delano, CA",Kern County ,0680
06037,31677,Los Angeles,2020-05-10,California,10039107,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County ,
06041,261,Marin,2020-05-10,California,258826,41860,"San Francisco-Oakland-Fremont, CA", Marin County ,
06053,273,Monterey,2020-05-10,California,434061,41500,"Salinas, CA",Monterey County ,7120
06055,79,Napa,2020-05-10,California,137744,34900,"Napa, CA",Napa County ,8720
06059,3506,Orange,2020-05-10,California,3175692,31080,"Los Angeles-Long Beach-Anaheim, CA", Orange County ,
06061,169,Placer,2020-05-10,California,398329,40900,"Sacramento--Arden-Arcade--Roseville, CA", Placer County ,6920
06065,5039,Riverside,2020-05-10,California,2470546,40140,"Riverside-San Bernardino-Ontario, CA",Riverside County ,
06067,1166,Sacramento,2020-05-10,California,1552058,40900,"Sacramento--Arden-Arcade--Roseville, CA", Sacramento County ,6920
06069,55,San Benito,2020-05-10,California,62808,41940,"San Jose-Sunnyvale-Santa Clara, CA",San Benito County ,
06071,2964,San Bernardino,2020-05-10,California,2180085,40140,"Riverside-San Bernardino-Ontario, CA", San Bernardino County ,
06073,4989,San Diego,2020-05-10,California,3338330,41740,"San Diego-Carlsbad-San Marcos, CA",San Diego County ,7320
06075,1946,San Francisco,2020-05-10,California,881549,41860,"San Francisco-Oakland-Fremont, CA", San Francisco County ,
06077,612,San Joaquin,2020-05-10,California,762148,44700,"Stockton, CA",San Joaquin County ,8120
06081,1453,San Mateo,2020-05-10,California,766573,41860,"San Francisco-Oakland-Fremont, CA", San Mateo County ,
06083,1308,Santa Barbara,2020-05-10,California,446499,42060,"Santa Barbara-Santa Maria-Goleta, CA",Santa Barbara County ,7480
06085,2339,Santa Clara,2020-05-10,California,1927852,41940,"San Jose-Sunnyvale-Santa Clara, CA", Santa Clara County ,
06097,309,Sonoma,2020-05-10,California,494336,42220,"Santa Rosa-Petaluma, CA",Sonoma County ,7500
06099,501,Stanislaus,2020-05-10,California,550660,33700,"Modesto, CA",Stanislaus County ,5170
06111,679,Ventura,2020-05-10,California,846006,37100,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County ,6000
06113,173,Yolo,2020-05-10,California,220500,40900,"Sacramento--Arden-Arcade--Roseville, CA", Yolo County ,6920
08001,2242,Adams,2020-05-10,Colorado,517421,19740,"Denver-Aurora-Broomfield, CO",Adams County ,
08005,3272,Arapahoe,2020-05-10,Colorado,656590,19740,"Denver-Aurora-Broomfield, CO", Arapahoe County ,
08014,198,Broomfield,2020-05-10,Colorado,70465,19740,"Denver-Aurora-Broomfield, CO", Broomfield County ,
08019,14,Clear Creek,2020-05-10,Colorado,9700,19740,"Denver-Aurora-Broomfield, CO", Clear Creek County ,
08031,4070,Denver,2020-05-10,Colorado,727211,19740,"Denver-Aurora-Broomfield, CO", Denver County ,
08035,601,Douglas,2020-05-10,Colorado,351154,19740,"Denver-Aurora-Broomfield, CO", Douglas County ,
08039,39,Elbert,2020-05-10,Colorado,26729,19740,"Denver-Aurora-Broomfield, CO", Elbert County ,
08041,1124,El Paso,2020-05-10,Colorado,720403,17820,"Colorado Springs, CO",El Paso County ,1720
08047,3,Gilpin,2020-05-10,Colorado,6243,19740,"Denver-Aurora-Broomfield, CO", Gilpin County ,
08059,1649,Jefferson,2020-05-10,Colorado,582881,19740,"Denver-Aurora-Broomfield, CO", Jefferson County ,
08093,15,Park,2020-05-10,Colorado,18845,19740,"Denver-Aurora-Broomfield, CO", Park County ,
08119,31,Teller,2020-05-10,Colorado,25388,17820,"Colorado Springs, CO", Teller County ,1720
09001,13236,Fairfield,2020-05-10,Connecticut,943332,35300,"New Haven-Milford, CT", Fairfield County ,5480
09003,7263,Hartford,2020-05-10,Connecticut,891720,25540,"Hartford-West Hartford-East Hartford, CT",Hartford County ,3280
09005,1153,Litchfield,2020-05-10,Connecticut,180333,25540,"Hartford-West Hartford-East Hartford, CT", Litchfield County ,3280
09007,798,Middlesex,2020-05-10,Connecticut,162436,25540,"Hartford-West Hartford-East Hartford, CT", Middlesex County ,3280
09009,9209,New Haven,2020-05-10,Connecticut,854757,35300,"New Haven-Milford, CT",New Haven County ,5480
09013,543,Tolland,2020-05-10,Connecticut,150721,25540,"Hartford-West Hartford-East Hartford, CT", Tolland County ,3280
10003,2331,New Castle,2020-05-10,Delaware,558753,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County ,
11001,6272,District of Columbia,2020-05-10,District of Columbia,705749,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia ,
12009,328,Brevard,2020-05-10,Florida,601942,37340,"Palm Bay-Melbourne-Titusville, FL",Brevard County ,4900
12011,5858,Broward,2020-05-10,Florida,1952778,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County ,
12019,300,Clay,2020-05-10,Florida,219252,27260,"Jacksonville, FL",Clay County ,3600
12031,1164,Duval,2020-05-10,Florida,957755,27260,"Jacksonville, FL", Duval County ,3600
12033,638,Escambia,2020-05-10,Florida,318316,37860,"Pensacola-Ferry Pass-Brent, FL",Escambia County ,6080
12053,100,Hernando,2020-05-10,Florida,193920,45300,"Tampa-St. Petersburg-Clearwater, FL",Hernando County ,
12057,1432,Hillsborough,2020-05-10,Florida,1471968,45300,"Tampa-St. Petersburg-Clearwater, FL", Hillsborough County ,
12069,242,Lake,2020-05-10,Florida,367118,36740,"Orlando, FL",Lake County ,5960
12071,1267,Lee,2020-05-10,Florida,770577,15980,"Cape Coral-Fort Myers, FL",Lee County ,2700
12086,14006,Miami-Dade,2020-05-10,Florida,2716940,33100,"Miami-Fort Lauderdale-Pompano Beach, FL", Miami-Dade County ,
12089,60,Nassau,2020-05-10,Florida,88625,27260,"Jacksonville, FL", Nassau County ,3600
12095,1504,Orange,2020-05-10,Florida,1393452,36740,"Orlando, FL",  Orange County ,5960
12097,572,Osceola,2020-05-10,Florida,375751,36740,"Orlando, FL", Osceola County ,5960
